Date,Time,Lat,Long,Alt,DIN2,SSID,WIFI,INT,Registration
06/10/2025,14:27:46,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:27:56,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:28:06,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:28:16,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:28:26,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:28:36,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:28:46,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:28:56,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:29:07,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:29:17,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:29:27,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:29:37,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:29:47,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:29:57,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:30:07,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:30:17,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:30:27,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:30:37,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:30:47,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:30:57,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:31:08,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:31:18,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:31:28,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:31:38,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:31:48,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:31:58,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:32:08,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:32:18,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:32:28,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:32:38,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:32:48,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:32:58,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:33:08,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:33:19,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:33:29,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:33:39,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:33:49,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:33:59,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:34:09,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:34:19,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:34:29,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:34:39,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:34:49,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:34:59,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:35:09,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:35:20,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:35:30,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:35:40,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:35:50,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:36:00,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:36:10,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:36:20,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:36:30,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:36:40,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:36:50,,,,,SDL-Maintenance,1,0,SDL-Maintenance
